,album_score
The Least We Can Do Is Wave To Each Other,12.026
Foxtrot (2007 Stereo Mix),12.019
The Yellow Shark,11.754999999999999
Revolver (Remastered),11.594
Third,10.636
Odditorium Or Warlords Of Mars,10.635
La notte anche di giorno,10.530999999999999
Ultra (Deluxe),10.504999999999999
Vol.1,10.164
Goats Head Soup (Remastered 2009),10.095999999999998
Hot Rocks 1964-1971,10.006
White Feathers,9.957
The Virgin Years: 1974-1978,9.869
Stonedhenge,9.852999999999998
Arthur or the Decline and Fall of the British Empire (2019 Remaster),9.827
Exile On Main Street (2010 Re-Mastered),9.564
American Beauty (2013 Remaster),9.556999999999999
Distortland,9.280999999999999
Amore e non amore,9.247
Caffé De La Paix (2008 Remastered Edition),9.128
Io Sono Nato Libero,9.093
ROCKMAKER,9.062999999999999
Let It Bleed,8.918
Pin Ups,8.731
Welcome To The Monkey House,8.465
The Lost Tapes,7.957999999999999
Animals,7.827999999999999
Forse Le Lucciole Non Si Amano Più (Remastered 2021),7.213999999999999
Moontan,6.980999999999999
vol huis (Live),6.980999999999999
Physical Graffiti (Remaster),6.784000000000001
Mercator Projected,6.669
Anthem of the Sun,6.631
Blues,6.361999999999999
Substance,6.244
Tago Mago (Remastered),6.204
PFM in Classic - Da Mozart a Celebration,6.1659999999999995
Still Life,6.115
Ho Visto Anche Degli Zingari Felici,5.992999999999999
Campi Magnetici - I Numeri Non Si Possono Amare,5.804
Tutu,5.7379999999999995
Led Zeppelin II (Remaster),5.731999999999999
Snafu,5.707
Songs of Faith and Devotion (Deluxe),5.569
Music Complete,5.545999999999999
Celebration 1972-2012,5.481
Mr. Fantasy,5.395
Unhalfbricking,5.212
Garofano rosso (Colonna sonora originale del film),5.18
Mondo Bongo,5.1579999999999995
The Great Reunion,5.154999999999999
L.A. Woman,5.127
The Lamb Lies Down On Broadway (50th Anniversary Deluxe Edition),5.069999999999999
Magical Mystery Tour (Remastered),4.936
Remain in Light (Deluxe Version),4.906999999999999
Up,4.901
Gommalacca,4.853999999999999
Un Encuentro,4.8309999999999995
Some Girls,4.818999999999999
Live In Roma,4.815999999999999
Trilogy,4.774
Vs.,4.768
"Lucio Battisti, la batteria, il contrabbasso, eccetera",4.739
Singles (2016 Remaster),4.739
L'Arca Di Noè (40° Anniversario / Remaster 2022),4.723
The Collection 1977-1982,4.701
Music for the Masses (Deluxe),4.6659999999999995
"Unprotected (Live at Lugo di Romagna, Padova, Genova 1994)",4.66
Is This Desire?,4.6499999999999995
After the Last Sky,4.644
Tales Of Mystery And Imagination (Original 1976 Version),4.621
Fisiognomica (2008 Remastered Edition),4.58
Some Great Reward (Deluxe),4.57
Green (Remastered),4.567
Stars Die (Remaster),4.567
Why You so Crazy,4.548
Benefit,4.539
Speak and Spell (Deluxe),4.51
M.U. - The Best of Jethro Tull,4.439
Sticky Fingers (Remastered),4.439
Camel (Expanded Edition),4.436
Contrappunti (Remastered 2023),4.423
Orizzonti Perduti (2008 Remastered Edition),4.411
Fleurs 2 (Remastered 2019),4.404
Songs From A Room,4.369
Everybody's in Show-Biz (Super Deluxe),4.369
"Violator | The 12"" Singles",4.346
461 Ocean Boulevard,4.343
The Singles,4.337
Cogli La Prima Mela,4.337
Reptile,4.337
El Derecho de Vivir en Paz,4.327
Aftermath,4.3149999999999995
The Notorious Byrd Brothers,4.302
Silver Eagle (Live),4.279
Winds Of Change,4.279
Something Else (Deluxe),4.241
Basket of Light,4.234
Alla Fiera Dell'Est,4.228
Pablo Honey,4.225
A Space in Time (Deluxe Version),4.205
Octopus,4.205
English Rose,4.199
Moving Waves (2020 Remastered Edition),4.186
Imaginary Voyage,4.183
Out Of Our Heads (UK),4.18
Torneremo Ancora,4.164
Shiraz,4.1579999999999995
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),4.115
The Complete Savoy & Dial Master Takes,4.115
The Return of The Durutti Column,4.09
The Best of Talking Heads,4.09
Willy And The Poor Boys (Expanded Edition),4.069999999999999
Doolittle,4.061
Canto Libre,4.032
rearviewmirror (greatest hits 1991-2003),3.987
Like Crying: The Songs of Danny Kirwan,3.9779999999999998
Traffic,3.932
Fragile (Super Deluxe),3.913
After the Gold Rush (2009 Remaster),3.8549999999999995
Surrealistic Pillow,3.8259999999999996
Live,3.807
Fleurs,3.79
"Meaty, Beaty, Big And Bouncy",3.79
The Rolling Stones Singles Collection: The London Years,3.7419999999999995
Full Metal Jacket (Original Motion Picture Soundtrack),3.6899999999999995
Absolutely Free,3.6409999999999996
The Grateful Dead,3.6379999999999995
Smiley Smile (Remastered),3.602
Between The Buttons (UK Version),3.5859999999999994
Rubber Soul (Remastered 2009),3.55
Incense And Peppermints,3.4329999999999994
One Hot Minute (Deluxe Edition),3.3649999999999998
THRAK,2.992
