artist,art_daily_tr_freq,art_daily_utr_freq,art_daily_dur,art_daily_score
Los Lobos,0/0/0/0/0/0/0/5/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/5/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/16.15/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/42/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Genesis,0/0/0/0/2/2/1/4/0/1/3/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/2/1/1/4/0/1/3/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/8.09/6.46/3.23/18.97/0/23.1/21.7/0/0/0/0/0/0/0/8.01/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/18/14/9/36/0/16/30/0/0/0/0/0/0/0/11/0/0/0/0/0/0/0/0/0/0/0/0
The Boomtown Rats,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/5.06/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/5.06/0/0/0/0/0/0/0/0/0,0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0
Orchestral Manoeuvres In The Dark,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/3.18/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/9/0/0/0/0/0/0/0/0
Red Hot Chili Peppers,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1.79/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Traffic,1/2/0/1/0/1/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0,1/2/0/1/0/1/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0,4.58/16.61/0/4.58/0/2.7/0/0/0/11.04/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4.58/0/0/0/0,10/21/0/10/0/9/0/0/0/12/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10/0/0/0/0
Jimmy Giuffre,0/0/0/0/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/5.21/2.45/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/17/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
The Pretty Things,0/1/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/1/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/3.51/0/3.51/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/9/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Charlie Parker,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/3.03/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
The Who,0/1/0/1/1/0/1/0/0/0/0/0/0/1/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/1/0/1/1/0/1/0/0/0/0/0/0/1/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/5.65/0/5.65/5.65/0/2.46/0/0/0/0/0/0/5.65/0/0/0/0/0/0/2.46/0/0/0/0/0/0/0/0/0/0,0/10/0/10/10/0/9/0/0/0/0/0/0/10/0/0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0
Kraan,0/0/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/3.81/3.81/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/10/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
PJ Harvey,0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/4.02/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Pearl Jam,0/0/0/0/1/1/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/1/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/4.25/2.79/0/0/0/0/0/0/0/0/0/2.79/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/10/9/0/0/0/0/0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Rabih Abou-Khalil,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/16.68/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/21/0/0/0/0/0/0/0/0/0
Eurythmics,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/3.75/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10/0/0/0/0/0/0/0/0
The Durutti Column,0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/2.97/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
The Rolling Stones,0/0/0/0/5/4/1/3/0/2/0/11/3/10/0/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/5/4/1/3/0/2/0/11/3/10/0/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/19.77/14.06/3.08/10.28/0/8.02/0/39.79/11.08/38.21/0/8.79/3.15/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/43/34/9/26/0/18/0/90/26/83/0/19/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Camel,1/2/0/2/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,1/2/0/1/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,3.61/11.22/0/11.76/3.2/3.2/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,9/19/0/16/9/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
The Dandy Warhols,0/0/0/0/0/1/0/20/19/11/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/19/17/11/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/5.68/0/89.89/71.93/47.0/0/0/0/0/0/0/0/4.13/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/10/0/159/145/92/0/0/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0
The Doors,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/4.98/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Ozric Tentacles,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/28.44/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/38/0/0/0/0/0/0/0/0/0
Japan,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/1/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/1/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/7.15/0/0/4.82/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/11/0/0/10/0/0/0/0/0
Jefferson Airplane,0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/2.51/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2.51/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0
New Trolls,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2.4/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/9/0/0/0/0/0/0/0/0/0
