track_id,album_id,artist_id,track,artist,album_name,played_at,album_date,album_pic,duration_ms,genres
47sJPdCkjVfLJWBFhwJiuE,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,The Sheltering Sky,King Crimson,Discipline,2026-05-02T15:24:43,1981-09-22,https://i.scdn.co/image/ab67616d00001e02ff2d2448a42a43c281b6f556,502480,Progressive Rock/Art Rock/Psychedelic Rock
3RpQJrHPISBYkIYaoL4leS,4ttC4XUinZXn3GMIQNrjFZ,7M1FPw29m5FbicYzS2xdpi,Lament,King Crimson,Starless And Bible Black,2026-05-02T15:16:13,1974-03-29,https://i.scdn.co/image/ab67616d00001e02ebb799f3ca90f59bd04f6a72,245318,Progressive Rock/Art Rock/Psychedelic Rock
5LP10C87Y5YnToBtwsxojk,7bJytEOVzTT0TIYfL18hU9,5A0MH7JfEBEMySevsmauds,Moon In June,Soft Machine,Third,2026-05-02T15:12:13,1970-08-26,https://i.scdn.co/image/ab67616d00001e02c25d45a133ffc63dd4743b97,1147200,Progressive Rock/Jazz Fusion/Krautrock/Psychedelic Rock/Art Rock/Acid Rock/Space Rock
1650LUcd7pCPN6oLjUs3s7,2vqzKJO8HeMffaSHxg74ln,1BGN1IdyiSR0ZYrkoKNchl,Ricochet (Part One) - Live From Europe/1975 / 1995 Digital Remaster,Tangerine Dream,The Virgin Years: 1974-1978,2026-05-02T14:53:14,1978,https://i.scdn.co/image/ab67616d00001e025318da4141de4dc8b2c5e68b,1017720,Krautrock/Space Music/Space Rock/Progressive Rock/New Age/Ambient
0GRBFjza23Im7Xb16c9AaK,0GqpoHJREPp0iuXK3HzrHk,36QJpDe2go2KgaRleHCDTp,No Quarter - Remaster,Led Zeppelin,Houses of the Holy (Remaster),2026-05-02T13:24:26,1973-03-28,https://i.scdn.co/image/ab67616d00001e021aa47e71c4edfeaddb65cd54,422517,Classic Rock/Rock/Hard Rock/Rock And Roll
2sG6kG8mEDaiv7AN0TJ310,0b33cACjsSPVBchGgsFGMu,4lianjyuR1tqf6oUX8kjrZ,Apparenza e realtà,Franco Battiato,Universi paralleli di Franco Battiato,2026-05-02T12:40:23,2018-09-28,https://i.scdn.co/image/ab67616d00001e021773a7b8623a39d8da4ed9e6,218880,Italian Singer-songwriter/Singer-songwriter
702IsRAE5re0e7eBwf0LXl,1NeJ0QqKv002iYDiOCaUOA,1MD5pgVzlusqGyuSTcTxvu,Geranio,Premiata Forneria Marconi,Per Un Amico,2026-05-02T12:36:23,1972,https://i.scdn.co/image/ab67616d00001e025fd82bdfb64208932d8b7bf7,484000,Progressive Rock/Italian Singer-songwriter/Art Rock
54VkF8s3BevKAX0JSwuf0O,30OBaYcCeQ71rdVWSpbTgC,7B9i94mmRUGH35kAyuUEDD,Starship Trooper/ Wurm,"Anderson, Squire, Howe",Tales Of Future And Past,2026-05-02T12:27:53,2001,https://i.scdn.co/image/ab67616d00001e0221abc35447440ad3a552fd3a,741960,
1qkp9OvCk8FjeDdEd2bKQ6,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Alpha,Vangelis,Albedo 0.39,2026-05-02T12:15:23,1976,https://i.scdn.co/image/ab67616d00001e02c867681ddaff9580f6d2b81b,344293,New Age
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-02T12:09:04,2014-04-25,https://i.scdn.co/image/ab67616d00001e024a068365405d564e386b556d,687373,Progressive Rock/Art Rock
