track,short,plays,track_unique_days,log_dur_min,track_score
Todo es de color,Todo es de color,1,1,0.7275486072772777,5.32
Traccia,Traccia,1,1,0.7275486072772777,5.32
Piggies - Remastered 2009,Piggies,1,1,0.7275486072772777,5.32
Rosemary - 2013 Remaster,Rosemary,1,1,0.6931471805599453,5.23
Peace - An End,Peace,1,1,0.6626879730752367,5.16
KD,KD,1,1,0.6523251860396901,5.13
The Dandy Warhols Love Almost Everyone,The Dandy Warhols Love Almost Everyone,1,1,0.6418538861723947,5.1
Birds In My Tree,Birds In My Tree,1,1,0.6418538861723947,5.1
An Oscar For Treadwell - Incomplete 411-1,An Oscar For Treadwell,1,1,0.636576829071551,5.09
Pea,Pea,1,1,0.5822156198526637,4.96
Inner Garden I,Inner Garden I,1,1,0.5822156198526637,4.96
November,November,1,1,0.5423242908253617,4.86
Ponker's Theme,Ponker's Theme,1,1,0.3852624007906449,4.46
Ponker's Theme - Remastered 2021,Ponker's Theme,1,1,0.371563556432483,4.43
Man in a White Car - LP/Single Version,Man in a White Car,1,1,0.3001045924503381,4.25
Inner Garden II,Inner Garden II,1,1,0.2390169004704999,4.1
Devo Corporate Anthem,Devo Corporate Anthem,1,1,0.2390169004704999,4.1
Peace - A Theme,Peace,1,1,0.2231435513142097,4.06
"Introduction - Live In Juan-les-Pins, France/1965",Introduction,1,1,0.2070141693843261,4.02
Timing X,Timing X,1,1,0.1739533071234379,3.93
Vier ½,Vier ½,1,1,0.0198026272961797,3.55
The Battle Of The Locusts,The Battle Of The Locusts,1,1,-0.0725706928348353,3.32
Peace - A Beginning,Peace,1,1,-0.1863295781914934,3.03
Intro,Intro,1,1,-0.579818495252942,2.05
