track,short,plays,track_unique_days,log_dur_min,track_score
Medley: A Plague Of Lighthouse Keepers - 2000 Digital Remaster,Medley: A Plague Of Lighthouse Keepers,1,1,3.140265424286289,11.35
Nietzsche,Nietzsche,2,2,1.7369512327330598,11.34
750.000 anni fa... l'amore?,750.000 anni fa... l'amore?,2,2,1.728109442151599,11.32
Man With An Open Heart,Man With An Open Heart,3,2,1.128171090909654,11.32
M.E.,M.E.,2,2,1.7263316639055997,11.32
Run Through The Jungle,Run Through The Jungle,3,2,1.1249295969854831,11.31
L'assalto dei lupi,L'assalto dei lupi,2,2,1.7191887763932197,11.3
The Good Thing,The Good Thing,3,2,1.118414915964289,11.3
Going for the One - 2003 Remaster,Going for the One,2,2,1.7101878155342434,11.28
Cats Under The Stars,Cats Under The Stars,2,2,1.7083778602890038,11.27
L'Immenso Campo Insensato,L'Immenso Campo Insensato,2,2,1.7047480922384253,11.26
Ore,Ore,2,2,1.682688374173693,11.21
Mohammed,Mohammed,2,2,1.6752256529721037,11.19
Godless,Godless,2,2,1.673351238177753,11.18
La Ultima Juerga,La Ultima Juerga,2,2,1.665818245870208,11.16
L'Esodo - 2008 Remaster,L'Esodo,2,2,1.6563214983329508,11.14
Some Skunk Funk,Some Skunk Funk,2,2,1.6428726885203375,11.11
Up Patriots To Arms - Remastered 2008,Up Patriots To Arms,2,2,1.6272778305624314,11.07
Banana Republic,Banana Republic,2,2,1.6213664832993742,11.05
La Grande Corsa - Italian version,La Grande Corsa,2,2,1.615419984111648,11.04
Good Morning,Good Morning,2,2,1.6094379124341005,11.02
Il Ragno,Il Ragno,2,2,1.5953389880545987,10.99
Umani Alieni - Italian version,Umani Alieni,2,2,1.5933085305042167,10.98
K.N.A. (Kaleidoscope Neutronic Accelerator),K.N.A. (Kaleidoscope Neutronic Accelerator),2,2,1.574846467664481,10.94
Seagull,Seagull,2,2,1.5623463049002495,10.91
Moon In June,Moon In June,1,1,2.9507349076232554,10.88
Gli Uccelli - Live 1988 / Remastered 2020,Gli Uccelli,2,2,1.551808799597464,10.88
The Loop,The Loop,2,2,1.5496879080283263,10.87
Paninaro,Paninaro,2,2,1.5432981099295553,10.86
The Night Watch,The Night Watch,2,2,1.545432582458188,10.86
The Hurlyburly,The Hurlyburly,2,2,1.534714366238164,10.84
"Close to the Edge: i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man - 2025 Remaster","Close to the Edge: i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man",1,1,2.929592471049446,10.82
Empty Pages - Remastered 2010,Empty Pages,2,2,1.5216989981260935,10.8
The Lamb,The Lamb,2,2,1.5216989981260935,10.8
Ara Buza (Dame Un Beso) - Remasterizado,Ara Buza (Dame Un Beso),2,2,1.5195132049061133,10.8
Indiscipline,Indiscipline,2,2,1.5151272329628591,10.79
Cyber Alpha,Cyber Alpha,2,2,1.4973884086254774,10.74
Owner of a Lonely Heart,Owner of a Lonely Heart,2,2,1.4951487660319729,10.74
Il Ballo Del Potere,Il Ballo Del Potere,2,2,1.4861396960896067,10.72
Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,Everybody's Got Something To Hide Except Me And My Monkey,3,2,0.8796267475025636,10.7
AtmoSpace - Italian version,AtmoSpace,2,2,1.4816045409242156,10.7
Mesopotamia - Live 1988 / Remastered 2020,Mesopotamia,2,2,1.4770487243883548,10.69
L'Oceano Di Silenzio - 2008 Remaster,L'Oceano Di Silenzio,2,2,1.4678743481123135,10.67
El Bizco De Los Patios - Remasterizado,El Bizco De Los Patios,2,2,1.4678743481123135,10.67
Chan-Son Egocentrique - Remastered,Chan-Son Egocentrique,2,2,1.4422019930581866,10.61
The Howler,The Howler,2,2,1.4350845252893227,10.59
Ricochet (Part One) - Live From Europe/1975 / 1995 Digital Remaster,Ricochet (Part One),1,1,2.830857630363757,10.58
Radio Varsavia - Remastered 2022,Radio Varsavia,2,2,1.42791603581071,10.57
Aguas del Guadalquivir,Aguas del Guadalquivir,2,2,1.425515074273172,10.56
