artist,track,track_score
Depeche Mode,Only When I Lose Myself - Single Version,5.08
Van Der Graaf Generator,W - New Stereo Mix 2021,5.08
The Rolling Stones,Gimme Shelter,5.06
Triana,Diálogo,5.06
Area,L'elefante bianco,5.06
Talking Heads,Houses in Motion - 2005 Remaster,5.06
Depeche Mode,Halo,5.06
King Crimson,Indiscipline,5.06
The Dandy Warhols,Boys Better,5.06
R.E.M.,Lotus,5.06
Van Der Graaf Generator,W - Remastered 2021,5.05
Kaja,Charm of a Gun,5.05
Van Der Graaf Generator,W - 2000 Digital Remaster,5.05
Franco Battiato,Il Ballo Del Potere,5.04
Franco Battiato,Shock In My Town - Live In Roma 2016,5.02
The Rolling Stones,When The Whip Comes Down - Remastered,5.02
Franco Battiato,Mesopotamia - Live 1988 / Remastered 2020,5.02
Triana,Tu frialdad,5.02
The Dandy Warhols,Styggo,5.0
Franco Battiato,Bist Du Bei Mir,5.0
The Dandy Warhols,I'd Like To Help You With Your Problem,5.0
The Rolling Stones,Torn And Frayed,5.0
"Emerson, Lake & Palmer",From the Beginning,4.99
Pearl Jam,Rats - Remastered,4.99
The Rolling Stones,Shine A Light,4.99
Franco Battiato,Chan-Son Egocentrique - Remastered,4.97
Lucio Battisti,Dove arriva quel cespuglio,4.97
The Rolling Stones,Hide Your Love - Remastered,4.97
New Order,True Faith - 2015 Remaster,4.97
Franco Battiato,Radio Varsavia - Remastered 2022,4.96
Genesis,I Know What I Like (In Your Wardrobe) - 2007 Stereo Mix,4.96
The Stranglers,Peaches,4.95
Angine de Poitrine,Tohogd,4.95
Kajagoogoo,"Turn Your Back on Me - 7"" Version",4.93
Franco Battiato,"L'Ombra Della Luce - Live From Teatro Dell'Archivolto, Genova / Italy, 1994",4.93
King Crimson,The Great Deceiver,4.93
Franco Battiato,Il Potere Del Canto,4.93
Depeche Mode,The Things You Said,4.93
PJ Harvey,The Wind,4.92
Triana,Luminosa mañana,4.92
Anouar Brahem,The Eternal Olive Tree,4.92
Mezquita,Resaca del Amanecer,4.92
The Alan Parsons Project,The Raven,4.9
Franco Battiato,E Ti Vengo A Cercare - Live 1988 / Remastered 2020,4.9
NEU!,Euphoria,4.9
Franco Battiato,Lode All'Inviolato - 2008 Remaster,4.88
Franco Battiato,Centro Di Gravità Permanente - Live 1988 / Remastered 2020,4.88
Franco Battiato,La quiete dopo un addio,4.88
Franco Battiato,Zai Saman - 2008 Remaster,4.88
Depeche Mode,People Are People,4.87
Porcupine Tree,Nine Cats,4.87
Los Lobos,Sabor A Mi,4.87
R.E.M.,Orange Crush - Remastered 2013,4.87
Jethro Tull,Teacher - Single Mix; 2001 Remaster,4.86
The Dandy Warhols,Be Alright,4.86
Franco Battiato,Sui Giardini Della Preesistenza - 2008 Remaster,4.86
The Rolling Stones,Brown Sugar,4.86
Yes,Wonderous Stories - 2003 Remaster,4.86
Franco Battiato,Il cammino interminabile,4.84
Los Lobos,"Volver, Volver - Live, 1987",4.84
Depeche Mode,New Life,4.84
The Dandy Warhols,The Legend of the Outlaw Truckers Aka the Ballad of Sheriff Shorty,4.83
The Dandy Warhols,Everyone Is Totally Insane,4.83
Franco Battiato,Sarcofagia,4.83
NEU!,Good Life,4.83
The Dandy Warhols,You Are Killing Me,4.83
Franco Battiato,L'Era Del Cinghiale Bianco - Live 1988 / Remastered 2020,4.79
Jethro Tull,Bungle in the Jungle,4.79
Camel,Never Let Go - Single Version / Remastered 2023,4.79
The Rolling Stones,Bitch - 2009 Mix,4.79
Franco Battiato,Aria Di Rivoluzione - Live 1988 / Remastered 2020,4.78
Franco Battiato,Zone Depresse - 2008 Remaster,4.78
Banco Del Mutuo Soccorso,Campi di Fragole,4.78
Le Orme,Frutto Acerbo - Remastered 2023,4.78
Franco Battiato,Personalità Empirica,4.78
Franco Battiato,23 coppie di cromosomi,4.78
Kajagoogoo,White Feathers,4.77
The Dandy Warhols,Rain,4.77
Franco Battiato,La Musica Muore - Remastered 2019,4.77
Los Lobos,"Let's Say Goodnight - Live at the Hollywood Palladium, 1987",4.77
Franco Battiato,Summer On A Solitary Beach - Live 1988 / Remastered 2020,4.77
Franco Battiato,Lontananze D'Azzurro,4.75
Leonard Cohen,Bird on the Wire,4.75
The Kinks,Hot Potatoes,4.75
CAN,Turtles Have Short Legs,4.73
Depeche Mode,Personal Jesus - Acoustic,4.73
Franco Battiato,Lettera Al Governatore Della Libia - Live 1988 / Remastered 2020,4.73
Eric Clapton,Reptile,4.73
Angelo Branduardi,Cogli la prima mela,4.73
Eric Clapton,Please Be With Me,4.73
The Dandy Warhols,Sister Golden Hair,4.72
Fleetwood Mac,"Oh Well, Pt. 1 - 2013 Remaster",4.72
Victor Jara,Ni Chicha Ni Limoná,4.72
Franco Battiato,Alexander Platz - Live 1988 / Remastered 2020,4.72
The Rolling Stones,"Paint It, Black",4.72
The Byrds,Change Is Now - Single Version,4.71
Franco Battiato,Scherzo in minore,4.71
Franco Battiato,Fortezza Bastiani,4.71
Genesis,Paperlate,4.71
The Dandy Warhols,The Summer Of Hate,4.69
Grateful Dead,Sugar Magnolia - 2013 Remaster,4.69
Neil Young,Silver Eagle - Live,4.69
Eric Burdon & the Animals,San Franciscan Nights,4.69
The Kinks,Waterloo Sunset,4.67
Radiohead,Vegetable,4.66
Pentangle,Light Flight,4.66
Angelo Branduardi,Il Dono Del Cervo,4.66
Van Der Graaf Generator,Vision - Sounds Of The 70s Session / 1971,4.66
Kajagoogoo,Kajagoogoo - Instrumental,4.66
Kajagoogoo,Ergonomics,4.66
NEU!,Crazy,4.66
The Dandy Warhols,Not If You Were The Last Junkie On Earth,4.64
Ten Years After,Hard Monkeys - 2004 Remaster,4.64
Gentle Giant,Dog's Life,4.64
Franco Battiato,Lode All'Inviolato - Live 2003,4.64
Fleetwood Mac,Albatross,4.64
Lucio Battisti,Seduto sotto un platano,4.63
Jean-Luc Ponty,New Country,4.63
The Dandy Warhols,Now You'll Love Me,4.63
Premiata Forneria Marconi,Il Banchetto - Live In Japan 2002,4.63
