group,variable,value,daily_score,n_tracks,n_utracks,daily_dur
Van Der Graaf Generator,23,0,0,0,0,0
Franco Battiato,23,1,18,2,2,7.08
Yes,23,1,10,1,1,5.81
Kajagoogoo,23,8,87,11,10,44.03
King Crimson,23,1,19,2,2,10.9
New Order,23,8,110,13,12,86.84
Premiata Forneria Marconi,23,0,0,0,0,0
Depeche Mode,23,8,81,10,9,50.01
Banco Del Mutuo Soccorso,23,0,0,0,0,0
The Dandy Warhols,23,0,0,0,0,0
Van Der Graaf Generator,24,0,0,0,0,0
Franco Battiato,24,8,99,12,12,48.49
Yes,24,1,10,1,1,5.26
Kajagoogoo,24,5,53,7,5,32.98
King Crimson,24,2,23,3,2,13.66
New Order,24,6,66,8,6,62.68
Premiata Forneria Marconi,24,0,0,0,0,0
Depeche Mode,24,8,97,12,10,76.23
Banco Del Mutuo Soccorso,24,0,0,0,0,0
The Dandy Warhols,24,0,0,0,0,0
Van Der Graaf Generator,25,0,0,0,0,0
Franco Battiato,25,8,235,30,28,147.87
Yes,25,0,0,0,0,0
Kajagoogoo,25,2,26,3,3,11.25
King Crimson,25,1,19,2,2,9.53
New Order,25,2,21,2,2,17.65
Premiata Forneria Marconi,25,0,0,0,0,0
Depeche Mode,25,4,46,5,5,29.52
Banco Del Mutuo Soccorso,25,0,0,0,0,0
The Dandy Warhols,25,0,0,0,0,0
Van Der Graaf Generator,26,1,11,1,1,8.3
Franco Battiato,26,8,211,28,25,108.16
Yes,26,1,11,1,1,6.58
Kajagoogoo,26,4,43,5,5,20.54
King Crimson,26,1,19,2,2,8.64
New Order,26,3,30,3,3,23.3
Premiata Forneria Marconi,26,1,18,2,2,8.56
Depeche Mode,26,0,0,0,0,0
Banco Del Mutuo Soccorso,26,1,11,1,1,6.37
The Dandy Warhols,26,0,0,0,0,0
Van Der Graaf Generator,27,1,12,1,1,10.38
Franco Battiato,27,0,9,1,1,3.57
Yes,27,0,9,1,1,3.16
Kajagoogoo,27,2,26,3,3,9.77
King Crimson,27,1,19,2,2,11.06
New Order,27,2,20,2,2,13.02
Premiata Forneria Marconi,27,1,11,1,1,6.02
Depeche Mode,27,1,19,2,2,10.21
Banco Del Mutuo Soccorso,27,1,10,1,1,4.61
The Dandy Warhols,27,0,0,0,0,0
Van Der Graaf Generator,28,0,0,0,0,0
Franco Battiato,28,0,0,0,0,0
Yes,28,0,0,0,0,0
Kajagoogoo,28,6,68,8,8,33.97
King Crimson,28,2,28,3,3,17.01
New Order,28,3,30,3,3,24.26
Premiata Forneria Marconi,28,0,0,0,0,0
Depeche Mode,28,3,39,4,4,30.78
Banco Del Mutuo Soccorso,28,0,0,0,0,0
The Dandy Warhols,28,0,0,0,0,0
Van Der Graaf Generator,29,0,0,0,0,0
Franco Battiato,29,4,43,5,5,18.61
Yes,29,0,0,0,0,0
Kajagoogoo,29,1,11,1,1,6.58
King Crimson,29,0,0,0,0,0
New Order,29,8,138,17,16,85.89
Premiata Forneria Marconi,29,0,0,0,0,0
Depeche Mode,29,0,0,0,0,0
Banco Del Mutuo Soccorso,29,0,0,0,0,0
The Dandy Warhols,29,0,0,0,0,0
Van Der Graaf Generator,30,0,0,0,0,0
Franco Battiato,30,0,0,0,0,0
Yes,30,0,0,0,0,0
Kajagoogoo,30,1,11,1,1,6.58
King Crimson,30,1,18,2,2,6.67
New Order,30,8,110,14,12,72.34
Premiata Forneria Marconi,30,1,19,2,2,10.26
Depeche Mode,30,1,19,2,2,9.54
Banco Del Mutuo Soccorso,30,1,10,1,1,5.33
The Dandy Warhols,30,0,0,0,0,0
Van Der Graaf Generator,31,0,0,0,0,0
Franco Battiato,31,0,0,0,0,0
Yes,31,8,126,15,15,75.03
Kajagoogoo,31,1,10,1,1,3.85
King Crimson,31,0,0,0,0,0
New Order,31,2,29,4,2,23.86
Premiata Forneria Marconi,31,0,0,0,0,0
Depeche Mode,31,1,11,1,1,6.34
Banco Del Mutuo Soccorso,31,0,0,0,0,0
The Dandy Warhols,31,0,0,0,0,0
