track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,year,month,day,played_at_hour,duration_mins,track_score,track_score_daily
4jCLKXqsYmBjl54DBgnAMe,3xOcExpIWzroZldcdc212q,4X42BfuhWCAZ2swiVze9O0,Objects Outlive Us: Cosmic Sons of Toil,Steven Wilson,The Overview,2026-05-19T03:06:24,180066,2026,5,19,3,3.0,26.15,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
2oeLt7N1amHZiev27FvKE2,6ANCHHVpcvjCqQFUDUvDOW,7fh7bwX9qV60tLxxsp9bTe,Sketch for Summer,The Durutti Column,The Return of The Durutti Column,2026-05-08T19:39:26,178280,2026,5,8,19,2.97,26.07,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
6io3AG4PaHu5Ksx41r4zHw,1UIoS9WbxcNNmvUGkWlfzU,2x9SpqnPi8rlE9pjHBwmSC,Love → Building on Fire - 2004 Remaster,Talking Heads,The Best of Talking Heads,2026-05-10T21:17:52,178000,2026,5,10,21,2.97,26.06,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
3vO2BbrhKNV2PDl276BUIZ,31q47gQszFt0CddSyMksgO,3IYUhFvPQItj6xySrBmZkd,Cotton Fields,Creedence Clearwater Revival,Willy And The Poor Boys (Expanded Edition),2026-05-06T22:08:36,177266,2026,5,6,22,2.95,26.03,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
3hXFX6le4RkzF8trx7xUM1,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,Theme One - Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:12:36,176491,2026,5,13,11,2.94,25.99,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5hyRrd5BoYapoY2mTRsnHV,6ELt0QaMOwPGPzfdEXE839,7M1FPw29m5FbicYzS2xdpi,Book Of Saturday,King Crimson,Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),2026-05-14T20:07:47,175720,2026,5,14,20,2.93,25.96,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
6BT7qiDY4A5tOyklohjQuW,0DQyTVcDhK9wm0f6RaErWO,6zvul52xwTWzilBZl6BUbT,Monkey Gone to Heaven,Pixies,Doolittle,2026-05-06T11:33:33,175333,2026,5,6,11,2.92,25.94,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
5iyCSUM7zzficwaGo8GIoc,1klALx0u4AavZNEvC4LrTL,3WrFJ7ztbogyGnTHbHJFl2,Savoy Truffle - Remastered 2009,The Beatles,The Beatles (Remastered),2026-05-10T21:17:52,174466,2026,5,10,21,2.91,25.9,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
3A1yk2TmIheVcfb4Gwp0MS,6e2RjFVaAULBc5vAcykAEg,440MEFxEmF9othCXbz3Y6a,Canción Al Árbol Del Olvido,Victor Jara,Canto Libre,2026-05-06T22:05:31,172493,2026,5,6,22,2.87,25.81,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2A3sgyp07d7ksgjyBHYSUt,47hOpZQfXVIRzTiv0Ef8pO,22bE4uQ6baNwSHPVcDxLCe,You Got The Silver - Remastered 2019,The Rolling Stones,Let It Bleed (50th Anniversary Edition / Remastered 2019),2026-05-14T16:09:43,170973,2026,5,14,16,2.85,25.75,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
4GOpMcPnnF9mtHNYgUPep6,2SE7fs002NlNc3cw3SQLRC,22bE4uQ6baNwSHPVcDxLCe,Citadel - Remastered 2017 / Stereo,The Rolling Stones,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),2026-05-14T16:18:44,170840,2026,5,14,16,2.85,25.74,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2pbHaKsIRuIqjZHCLpyQMv,4l4u9e9jSbotSXNjYfOugy,22bE4uQ6baNwSHPVcDxLCe,You Got The Silver,The Rolling Stones,Let It Bleed,2026-05-08T19:57:26,170373,2026,5,8,19,2.84,25.72,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
2RKXaYI00vF1YpzRBWPpEd,0lSd1hZaG62VvH2XZSmWg6,08GQAI4eElDnROBrJRGE0X,Dragonfly,Fleetwood Mac,Like Crying: The Songs of Danny Kirwan,2026-05-06T08:22:20,165754,2026,5,6,8,2.76,25.51,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
0oiV2wyVxakBblsrY6j2NJ,4ysu41mUCLI21L8EwbwhTO,4RncsrNJ1GDGsFBIxI76L6,The Bird - Remastered,Jimmy Giuffre,"Music For People, Birds, Butterflies & Mosquitoes (Remastered)",2026-05-05T12:58:31,165342,2026,5,5,12,2.76,25.49,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
47gzOI0OfVR3vgv5zGkNfd,0HXUEUFACh0b3VBhm7jBhi,1CD77o9fbdyQFrHnUPUEsF,Here We Go Round The Mulberry Bush - Stereo Version,Traffic,Traffic,2026-05-06T15:49:13,161800,2026,5,6,15,2.7,25.32,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
3EuFH5GXKR8hZU6B2b8R4y,0BZQ56leyRCyZu3jdXMZ87,6OWapcJm9xd55ci9CYbAuT,La Feria De La Flores,Los Lobos,Just Another Band From East L.A.: A Collection,2026-05-08T04:15:15,161000,2026,5,8,4,2.68,25.29,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
4s8o9hycJNwFQADitakIQn,5A1knO3o9ippL0nFuKl0Kh,7M1FPw29m5FbicYzS2xdpi,Coda Marine 475,King Crimson,THRAK,2026-05-15T08:05:47,160861,2026,5,15,8,2.68,25.28,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
5rOfVqZo7WbDPn5zHYvqxL,2Hnje5QVKaPVNuGJ5yHC7Z,22bE4uQ6baNwSHPVcDxLCe,Empty Heart,The Rolling Stones,12 X 5,2026-05-14T16:06:44,156946,2026,5,14,16,2.62,25.09,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
5TCMwUI5HkTSDB8DxtYosb,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Montreux's Theme - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-13T13:01:03,153586,2026,5,13,13,2.56,24.93,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
1LZQZxE7MTmNLvpPkAAXJT,5EVlXlHbRQI8ybuNt4ArXI,6v8FB84lnmJs434UJf2Mrm,Birds,Neil Young,After the Gold Rush (2009 Remaster),2026-05-05T12:27:31,153373,2026,5,5,12,2.56,24.92,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2Bsp8gAjwlGmYhRueRGLHu,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Elanoizan,NEU!,NEU!,2026-05-03T15:30:50,151466,2026,5,3,15,2.52,24.83,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
554I7Vh0EH0nxlt4zzRNgN,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Amazing Grace - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-13T13:08:33,151533,2026,5,13,13,2.53,24.83,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
4vpeKl0vMGdAXpZiQB2Dtd,6lPb7Eoon6QPbscWbMsk6a,2qFr8w5sWUITRlzZ9kZotF,White Rabbit,Jefferson Airplane,Surrealistic Pillow,2026-05-05T14:20:01,150640,2026,5,5,14,2.51,24.79,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
123E4xc2jm6mMgdbNJXLML,14oeuE9HHmvB07pfQ3Fu7N,08GQAI4eElDnROBrJRGE0X,"The Farmer's Daughter - Live 1980, Santa Monica, CA",Fleetwood Mac,Live,2026-05-06T21:52:01,148440,2026,5,6,21,2.47,24.68,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
4QeEhsFQOJZye2FlRQcf7j,1Kn7Ds2UpJTdpBj7oweUh7,4lianjyuR1tqf6oUX8kjrZ,"Amore Che Vieni, Amore Che Val",Franco Battiato,Fleurs,2026-05-04T13:46:17,147680,2026,5,4,13,2.46,24.64,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4u2dUchYraxM1SFBHuE32o,0NufsuTuf3U0BY0p6jFdxV,67ea9eGLXYMsO2eYQRui3w,Boris The Spider,The Who,"Meaty, Beaty, Big And Bouncy",2026-05-07T19:03:13,147373,2026,5,7,19,2.46,24.62,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2jgyYvT3N5rmTmdsEqIhU9,0b33cACjsSPVBchGgsFGMu,4lianjyuR1tqf6oUX8kjrZ,Prologo,Franco Battiato,Universi paralleli di Franco Battiato,2026-05-09T13:01:28,146546,2026,5,9,13,2.44,24.58,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2BONRCP2cvSNc4UC6RWVzc,3gISC18IyM5W4fd3bVz9hk,1MD5pgVzlusqGyuSTcTxvu,Exit,Premiata Forneria Marconi,Serendipity,2026-05-16T19:29:28,146533,2026,5,16,19,2.44,24.58,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
7tIkF18JHnWzSIMbeNqKOi,5E9rFAvIQuZD9dLo6FL9wH,4RuYtHjAKBufQRqBUMiOfK,Notturno Breve,Banco Del Mutuo Soccorso,Garofano rosso (Colonna sonora originale del film),2026-05-15T16:08:36,145440,2026,5,15,16,2.42,24.53,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
092Do4luuSxuhhdCAlH0vo,093JGCJ5YMNGFnmsvR9WHt,7AC976RDJzL2asmZuz7qil,Total Mass Retain - Remix,Yes,The Steven Wilson Remixes,2026-05-01T17:54:38,144171,2026,5,1,17,2.4,24.46,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
0tFiuH4S1B8jSr9jVYZPez,0ACOqjq9mQuCZry2kj5zkB,22bE4uQ6baNwSHPVcDxLCe,The Singer Not The Song - Mono Version,The Rolling Stones,The Rolling Stones Singles Collection: The London Years,2026-05-12T21:17:09,142226,2026,5,12,21,2.37,24.36,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
1FRP8d6l2jm3DS5f78ZrhK,0bJMFJ2XQwpO5nKTrYdUtX,22bE4uQ6baNwSHPVcDxLCe,Route 66,The Rolling Stones,The Rolling Stones,2026-05-12T21:24:08,140400,2026,5,12,21,2.34,24.27,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
