track_id,track,plays,track_unique_days,log_dur_min,track_score
1UwdrKKa1G7MOKXTVycwWF,My Room (Waiting For Wonderland),2,2,2.086913556518537,7.5
1a1xoTlWpndO6azw57dKdJ,Dancing with the Moonlit Knight,2,2,2.080690761080268,7.5
5Sei3NoWCfDm29lvtqhXpN,Going Under,3,2,1.2383742310432684,7.49
6ghacFqX1Xybok4ADSDq4u,Turn of the Century,2,2,2.0693912058263346,7.48
7vYZU6UBqScL7BKFVIYOAk,Recuerdos De Mi Tierra,2,2,2.050270164379556,7.46
7bDiExjrKWLJbtHOg7g5cw,Bird Song,2,2,2.0294631718735947,7.44
4PCwwYtVKob3Xhe4mQ6TFl,La Porta Chiusa,2,2,2.0162354657760435,7.42
6EEihoyAbhrobkEJfonlVZ,Darkness (11/11) [2005,2,2,2.0149030205422647,7.42
6hHc7Pks7wtBIW8Z6A0iFq,Blue Monday,2,2,2.0135687975291283,7.42
3vfIp1SN81WhrwLYahweyK,Larks' Tongues In Aspic (Part II),2,2,1.9906103279732201,7.39
5TjLHZ8tPECmCgR2LvlFWd,La grande Pasqua russa,2,2,1.9878743481543455,7.39
3pwyjVeH54ghyHkDTWUUZI,Pilgrims,2,2,1.9740810260220096,7.37
6J0AjzrYsPZrQtw6IjErhy,Run Through The Jungle,3,2,1.1249295969854831,7.35
1v01uUPOnzQYF168ezOrNs,Shouldn't Do That,2,2,1.9473377010464987,7.34
0DO7AUeYAx9oUG7gyrbdTD,The Good Thing,3,2,1.1184149159642893,7.34
0GRBFjza23Im7Xb16c9AaK,No Quarter,2,2,1.951608170169951,7.34
0UHUKfXdy2VUfZctR8BRMl,La carrozza di Hans,2,2,1.9139771019523042,7.3
3l4l1oUSFH4JWkRm2HsNOr,Ooh to Be Ah,2,2,1.884034745337226,7.26
2JGyhooUQ9RVCd7uJAebUc,Cirkus (including Entry of the Chameleons),2,2,1.864080130807681,7.24
6eKPSagnVU7gygR8Dm132W,Changes,2,2,1.8468787684491346,7.22
16MwIJwfRQdl4KVdRBI5ii,Il Respiro del Tempo,2,2,1.843719208158766,7.21
4Yw37wsXSsz5V61IBS8cYh,The Gates of Delirium,2,1,3.0832851705618523,7.2
3EMwxd1bCQZSq4lFZHo9Vk,Big Apple,2,2,1.8164520818184267,7.18
5Rzt1zCXx81n5CH8d4CXQo,Big Apple,2,2,1.8082887711792655,7.17
3RsiyFNrYlv16OWY1BHMmx,Dove... quando...,2,2,1.7950872593207297,7.15
34RWVJloaUCdCe9EYMH9ms,Desde Que Somos Dos,2,2,1.7544036826842861,7.11
0csWSjZhXwcIyRcJpTgAuV,Moon Rocks,2,2,1.7509374747078,7.1
4M4Q3JLsUbyTkd5WHty1WB,Wild Horses,2,2,1.742219023667919,7.09
5TGBpTDgnaCDf0zOQAmkWK,Nietzsche,2,2,1.7369512327330598,7.08
6wNZa5e5DVBwMbqB4uYuXp,750.000 anni fa... l'amore?,2,2,1.728109442151599,7.07
64P3zpRsDHIk7YTpRtaKYL,Everybody's Got Something To Hide Except Me And My Monkey,3,2,0.8796267475025636,7.06
422av5zjTEf3DUnpPS5WMI,L'assalto dei lupi,2,2,1.7191887763932197,7.06
0gGRN6FMfXvJewuICghuw7,L'Immenso Campo Insensato,2,2,1.7047480922384253,7.05
5s6gA3IQTbVqv8utc5jVcn,Cats Under The Stars,2,2,1.7083778602890038,7.05
7JTaExKeVhJ7zxONogTgnO,Going for the One,2,2,1.7101878155342434,7.05
7JTJz9C9Lk2WBMOs7xmNv2,Ore,2,2,1.682688374173693,7.02
7m6T2wUj2CWjKkMbv42ZEo,Shangri-La (2019 Remaster),2,2,1.6752256529721035,7.01
6kRjeXaRe9LRl3Sxphf5jj,Mohammed,2,2,1.6752256529721035,7.01
4vJRdgiKKzF36ZqUH0ha6A,Godless,2,2,1.673351238177753,7.01
04C3eRaNUMdAnt7CAJ01Gi,La Ultima Juerga,2,2,1.665818245870208,7.0
4V2Sv3OBB3rihY6J3xszLr,Some Skunk Funk,2,2,1.6428726885203377,6.97
335rKvPRnLcRaCDtIqwDQG,Banana Republic,2,2,1.6213664832993742,6.95
4K3cElW740S6w5wbjBjRbt,Up Patriots To Arms,2,2,1.6272778305624314,6.95
2wBA4FbKKsrmkXBqMiULbo,La Grande Corsa,2,2,1.6154199841116479,6.94
1iirVt5GbGooJejnGGdd5D,Good Morning,2,2,1.6094379124341003,6.93
26LztWzlVfU8pHsC2jEBwz,Il Ragno,2,2,1.5953389880545987,6.91
5VUSidYgDkT1bv44GVVz21,Umani Alieni,2,2,1.5933085305042167,6.91
5UuF77n1lbEVro02JSoO9J,K.N.A. (Kaleidoscope Neutronic Accelerator),2,2,1.5748464676644813,6.89
6JXpIe7UwSyTVNb05dUxbU,Seagull,2,2,1.5623463049002497,6.87
7lYXfltdMHNHtR5qg3xTX3,Gli Uccelli,2,2,1.5518087995974639,6.86
26Xb1Ud7QshGHH3o7IfA76,The Loop,2,2,1.5496879080283263,6.86
46dxvP1IF5TdcKG42GkDF4,The Night Watch,2,2,1.545432582458188,6.85
26JKmZM47d9rOzoWZ9GApX,Paninaro,2,2,1.5432981099295553,6.85
1NiBRKLnlPurkOs9F1DJHJ,The Hurlyburly,2,2,1.534714366238164,6.84
1LEAvMU3ObxFGuijPxi5MO,The Lamb,2,2,1.5216989981260935,6.83
4UhB17vQsTP0qM9grc4ZUi,Empty Pages,2,2,1.5216989981260935,6.83
5FvRkKujcquFV4wma9QAfj,Indiscipline,2,2,1.5151272329628591,6.82
6GQAYT0AssRfoGWWrD1UvW,Ara Buza (Dame Un Beso),2,2,1.5195132049061133,6.82
7oITpghqeYM0RfRK17efLY,Cyber Alpha,2,2,1.4973884086254774,6.8
20Yie5PSAYYB7upcgyAxKO,Your Appetite,2,2,1.4816045409242156,6.78
1Iwbyem3pxCJwfbwRlB941,AtmoSpace,2,2,1.4816045409242156,6.78
19GTGG1v14wOISts5UNUr3,El Bizco De Los Patios,2,2,1.4678743481123135,6.76
6b0yXKXFtRUOK1wqxkE4rm,Two Minute Warning,2,2,1.4422019930581866,6.73
4fDh4crrqfdiQLNPNAAsTA,The Howler,2,2,1.4350845252893227,6.72
0fkiEfMOMVcEJtIHVanPic,Aguas del Guadalquivir,2,2,1.425515074273172,6.71
4coiXbes7tbMRz1a4A2Tm1,Ombre Amiche,2,2,1.415853163361435,6.7
0Rumj64tAP1jhImDkzple6,Focus II,2,2,1.4011829736136412,6.68
197BZR2lqvBxVRlO8stQwm,E Ti Vengo A Cercare,2,2,1.3737155789130306,6.65
3LJKux0EHh14BGdhzQXxDY,Part of Me Is You,2,2,1.3737155789130306,6.65
3a2n6ktGMY67SeryFDbNyn,Turn Your Back on Me,2,2,1.3737155789130306,6.65
16q0i1YK2y41gMeJrBFXnv,Así Soy Yo,2,2,1.3711807233098425,6.65
7as0i6RfQ0agOKeFNffmdb,The Raven,2,2,1.3787660946990992,6.65
5esztZeiWJF8dYixCubgai,Heartbeat,2,2,1.3635373739972745,6.64
4JvjCMPpXVldRhM0mxheub,Don't Kill the Whale,2,2,1.3686394258811698,6.64
1fuRreUibo6i4VGr0ZSgCE,La Rivoluzione,2,2,1.3686394258811698,6.64
70wZU1cn68xDajFE5gY3Pr,Centro Di Gravità Permanente,2,2,1.358409157630355,6.63
4xmWnvakCpuD51XDp0FPcG,Weirdo,2,2,1.355835153635182,6.63
7yLCCnegxpkYe6TgkZFRVN,Zai Saman,2,2,1.355835153635182,6.63
7sNhXWrg9eW3qRqeuePaIC,Orange Crush,2,2,1.3506671834767394,6.62
6im1FozDCSrfREdpKqzQ6f,Mr. Non Lo So,2,2,1.3376291891386096,6.61
3fCM5oy8dWngCNyGkGnVcD,Andy Nogger,2,2,1.3376291891386096,6.61
