track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,dt,day,hour,month,hlp,duration_min,track_short,time_of_day
2F13GShAqERTs7kg9wrfZD,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Aurora,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:07:12,445253,2026-06-14,14,2,6,1,7.42,Aurora,nachts
1JldxdR76T6IyvteJKuveB,152Nvg6gdt5P10J7KphMP0,7LGjULfs3CUorLei47BKKk,Morock'n Roll (God Gave You Something Better Than Magic - Brain),Dissidenten,Tanger Sessions,2026-06-13T23:13:15,326052,2026-06-13,13,23,6,1,5.43,Morock'n Roll (God Gave You Something Better Than Magic,abends
7ga8vLLCGNYJl8CvgyfNvf,3ce3OUOJdhe09xmsBv9eIv,2KUvztaZ23NwLaNMD2qElz,Gourara,Hamid Baroudi,Sidi,2026-06-13T23:07:48,230600,2026-06-13,13,23,6,1,3.84,Gourara,abends
2Da9omK5mhY4M9ThEg8yTv,43NKBSjVM1MKR4PmrJsXQe,7LGjULfs3CUorLei47BKKk,Fata Morgana (Deep-Dive-Corp Mix),Dissidenten,Remix.ed 2.0 - A New World Odyssey,2026-06-13T23:03:12,378026,2026-06-13,13,23,6,1,6.3,Fata Morgana (Deep-Dive-Corp Mix),abends
3QOhgIDmagYj142KIPDQ9z,4reOSuEGgezThUW5w5uzPR,7LGjULfs3CUorLei47BKKk,Jungle Book Part 2 (Simbad vs. Mowgly Mix),Dissidenten,Remix.ed - 2001: A Worldbeat Odyssey,2026-06-13T20:23:58,400626,2026-06-13,13,20,6,1,6.68,Jungle Book Part 2 (Simbad vs. Mowgly Mix),abends
06DFzJR3aIQjPBUYHLFlKY,4reOSuEGgezThUW5w5uzPR,7LGjULfs3CUorLei47BKKk,Telephone Arab (Shantel's Bucovina Dub),Dissidenten,Remix.ed - 2001: A Worldbeat Odyssey,2026-06-13T20:17:17,398880,2026-06-13,13,20,6,1,6.65,Telephone Arab (Shantel's Bucovina Dub),abends
6KJCksxRA2JzAKLGyJPK8a,4reOSuEGgezThUW5w5uzPR,7LGjULfs3CUorLei47BKKk,Instinctive Traveler (Funk.Ed Up Lelonk Mix),Dissidenten,Remix.ed - 2001: A Worldbeat Odyssey,2026-06-13T20:10:38,403920,2026-06-13,13,20,6,1,6.73,Instinctive Traveler (Funk.Ed Up Lelonk Mix),abends
0YfCp9A9yqeITGsOwVyi51,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Main Sequence,Vangelis,Albedo 0.39,2026-06-13T20:03:54,489840,2026-06-13,13,20,6,1,8.16,Main Sequence,abends
7jHB1X3bgB68gzkUJgqap2,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Mare Tranquillitatis,Vangelis,Albedo 0.39,2026-06-13T19:55:45,105826,2026-06-13,13,19,6,1,1.76,Mare Tranquillitatis,abends
3XWjY5ywwVf134l4CnnxmY,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Freefall,Vangelis,Albedo 0.39,2026-06-13T19:53:59,136506,2026-06-13,13,19,6,1,2.28,Freefall,abends
6KEpmIwCSjkcmxPxgV57FV,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Pulstar - Audio,Vangelis,Albedo 0.39,2026-06-13T19:51:42,345093,2026-06-13,13,19,6,1,5.75,Pulstar,abends
45EyCvEKDL9Y6DS0lIT6fF,79IlwWTziJbkzjN8qio1KC,4P70aqttdpJ9vuYFDmf7f6,Soil Festivities: Movement 5 - Remastered,Vangelis,Soil Festivities (Remastered),2026-06-13T19:45:55,440093,2026-06-13,13,19,6,1,7.33,Soil Festivities: Movement 5,abends
